-0.475,0.45,-0.3
-0.467,0.337,-0.2
-0.442,0.175
-0.392,-0.075,-0.033
-0.288
0.017,0.675,-0.125
0.008,0.392,0,3.4
-0.025,-0.008,0
-0.208,0.783,-0.575
-0.208,0.583,-0.275
-0.217,0.325,-0.083
-0.217,-0.05,-0.042
0.317,0.7,-0.183
0.283,0.558,-0.125
0.25,0.35,-0.075
0.167,-0.017,-0.042
0.68,0.033,-0.45
0.558,-0.183,-0.3
0.358,-0.367,-0.125
-0.167,-0.75,0.033
-0.317,-1,-0
-0.475,-0.39147,-0.3
-0.467,-0.13633,-0.2
-0.442,-0.19899,-0.083
-0.392,-0.28537,-0.033
0.026,0.078529,-0.288
0.017,0.20167,-0.125
0.008,0.018013,0
-0.025,-0.21837,0
-0.208,-0.058471,-0.575
-0.208,0.10967,-0.275
-0.217,-0.048987,-0.083
-0.217,-0.26037,-0.042
0.317,-0.14147,-0.183
0.283,0.084673,-0.125
0.25,-0.023987,-0.075
0.167,-0.22737,-0.042
0.68,-0.38774,-0.45
0.558,-0.41966,-0.3
0.358,-0.55399,-0.125
-0.167,-0.75,0.033
-0.317,-1,-0
-0.475,-0.4593,-0.3
-0.467,-0.17448,-0.2
-0.442,-0.22913,-0.083
-0.392,-0.30232,-0.033
0.026,0.010703,-0.288
0.017,0.16352,-0.125
0.008,-0.012132,0
-0.025,-0.23532,0
-0.208,-0.1263,-0.575
-0.208,0.07152,-0.275
-0.217,-0.079132,-0.083
-0.217,-0.27732,-0.042
0.317,-0.2093,-0.183
0.283,0.04652,-0.125
0.25,-0.054132,-0.075
0.167,-0.24432,-0.042
0.68,-0.42165,-0.45
0.558,-0.43874,-0.3
0.358,-0.56907,-0.125
-0.167,-0.75,0.033
-0.317,-1,-0
-0.475,0.30888,-0.3
-0.467,0.25762,-0.2
-0.442,0.11228,-0.083
-0.392,-0.11028,-0.033
0.026,0.77888,-0.288
0.017,0.59562,-0.125
0.008,0.32928,0
-0.025,-0.04328,0
-0.208,0.64188,-0.575
-0.208,0.50362,-0.275
-0.217,0.26228,-0.083
-0.217,-0.08528,-0.042
0.317,0.55888,-0.183
0.283,0.47862,-0.125
0.25,0.28728,-0.075
0.167,-0.05228,-0.042
0.68,-0.03756,-0.45
0.558,-0.22269,-0.3
0.358,-0.39836,-0.125
-0.167,-0.75,0.033
-0.317,-1,-0
-0.475,1.2068,-0.3
-0.467,0.7627,-0.2
-0.442,0.51136,-0.083
-0.392,0.1142,-0.033
0.026,1.6768,-0.288
0.017,1.1007,-0.125
